t=2026-04-08T13:31:57+0700 lvl=info msg="no configuration paths supplied"
t=2026-04-08T13:31:57+0700 lvl=info msg="using configuration at default config path" path=/home/illicit_comms/.config/ngrok/ngrok.yml
t=2026-04-08T13:31:57+0700 lvl=info msg="open config file" path=/home/illicit_comms/.config/ngrok/ngrok.yml err=nil
t=2026-04-08T13:31:57+0700 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-04-08T13:31:57+0700 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-04-08T13:31:58+0700 lvl=info msg="client session established" obj=tunnels.session
t=2026-04-08T13:31:58+0700 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-04-08T16:23:27+0700 lvl=info msg="join connections" obj=join id=2f81b35d2d5f l=[::1]:3000 r=203.80.164.89:6126
t=2026-04-08T16:23:37+0700 lvl=info msg="join connections" obj=join id=fce662cc4ba0 l=[::1]:3000 r=203.80.164.89:6126
t=2026-04-08T16:23:47+0700 lvl=info msg="join connections" obj=join id=640d219145ca l=[::1]:3000 r=203.80.164.89:6126
t=2026-04-08T16:23:57+0700 lvl=info msg="join connections" obj=join id=bef44a9f96d7 l=[::1]:3000 r=203.80.164.89:6126
t=2026-04-08T16:24:08+0700 lvl=info msg="join connections" obj=join id=3eadee0fdd06 l=[::1]:3000 r=203.80.164.89:6126
t=2026-04-08T16:24:18+0700 lvl=info msg="join connections" obj=join id=2a9266612d01 l=[::1]:3000 r=203.80.164.89:6126
t=2026-04-08T16:40:16+0700 lvl=eror msg="session closed, starting reconnect loop" obj=tunnels.session obj=csess id=727cf9835b81 err="read tcp 192.168.3.7:46394->3.1.215.86:443: read: connection reset by peer"
t=2026-04-08T16:40:17+0700 lvl=info msg="client session established" obj=tunnels.session
t=2026-04-08T16:40:17+0700 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-04-08T16:40:31+0700 lvl=eror msg="heartbeat timeout, terminating session" obj=tunnels.session obj=csess id=55daa72766bf clientid=b286db907e4f8fdf448eb6541e61c99e
t=2026-04-08T16:46:53+0700 lvl=info msg="join connections" obj=join id=5201406e3686 l=[::1]:3000 r=203.144.92.248:38345
t=2026-04-08T16:46:54+0700 lvl=info msg="join connections" obj=join id=ddbead3635c6 l=[::1]:3000 r=203.144.92.248:38345
t=2026-04-08T16:46:54+0700 lvl=info msg="join connections" obj=join id=85758817e137 l=[::1]:3000 r=203.144.92.248:38345
t=2026-04-08T16:46:54+0700 lvl=info msg="join connections" obj=join id=b5bd37722370 l=[::1]:3000 r=203.144.92.248:38345
t=2026-04-08T16:46:54+0700 lvl=info msg="join connections" obj=join id=b51552f3d652 l=[::1]:3000 r=203.144.92.248:38345
t=2026-04-08T16:46:54+0700 lvl=info msg="join connections" obj=join id=b0109fbbe7d4 l=[::1]:3000 r=203.144.92.248:38345
t=2026-04-08T16:46:54+0700 lvl=info msg="join connections" obj=join id=cd9fe741581c l=[::1]:3000 r=203.144.92.248:38345
t=2026-04-08T16:46:54+0700 lvl=info msg="join connections" obj=join id=cd4c04362c6e l=[::1]:3000 r=203.144.92.248:38345
t=2026-04-08T16:46:54+0700 lvl=info msg="join connections" obj=join id=c6896c33ad5a l=[::1]:3000 r=203.144.92.248:38345
t=2026-04-08T16:46:54+0700 lvl=info msg="join connections" obj=join id=b00e6b4d1587 l=[::1]:3000 r=203.144.92.248:38345
t=2026-04-08T16:46:54+0700 lvl=info msg="join connections" obj=join id=7a14dc66db60 l=[::1]:3000 r=203.144.92.248:38345
t=2026-04-08T16:46:54+0700 lvl=info msg="join connections" obj=join id=ebcd0a1f3080 l=[::1]:3000 r=203.144.92.248:38345
t=2026-04-08T16:46:54+0700 lvl=info msg="join connections" obj=join id=e2c6e12c0fe5 l=[::1]:3000 r=203.144.92.248:38345
t=2026-04-08T16:46:54+0700 lvl=info msg="join connections" obj=join id=f25496ce23fd l=[::1]:3000 r=203.144.92.248:38345
t=2026-04-08T16:46:54+0700 lvl=info msg="join connections" obj=join id=7411e600df31 l=[::1]:3000 r=203.144.92.248:38345
t=2026-04-08T16:46:54+0700 lvl=info msg="join connections" obj=join id=63311e7b0644 l=[::1]:3000 r=203.144.92.248:38345
t=2026-04-08T16:46:54+0700 lvl=info msg="join connections" obj=join id=b3e73e4fc182 l=[::1]:3000 r=203.144.92.248:38345
t=2026-04-08T16:46:54+0700 lvl=info msg="join connections" obj=join id=f0db661b836e l=[::1]:3000 r=203.144.92.248:38345
t=2026-04-08T16:54:33+0700 lvl=info msg="join connections" obj=join id=ec9f1558f25f l=[::1]:3000 r=203.80.164.89:3396
t=2026-04-08T16:54:43+0700 lvl=info msg="join connections" obj=join id=a7d80279863d l=[::1]:3000 r=203.80.164.89:3396
t=2026-04-08T16:54:54+0700 lvl=info msg="join connections" obj=join id=646175041a91 l=[::1]:3000 r=203.80.164.89:3396
t=2026-04-08T16:54:57+0700 lvl=info msg="join connections" obj=join id=393d9ef8c1f5 l=[::1]:3000 r=203.80.164.89:3396
t=2026-04-08T16:54:57+0700 lvl=info msg="join connections" obj=join id=708f4d4bbe6a l=[::1]:3000 r=203.80.164.89:3396
t=2026-04-08T16:54:57+0700 lvl=info msg="join connections" obj=join id=531c30e8561d l=[::1]:3000 r=203.80.164.89:3396
t=2026-04-08T16:54:58+0700 lvl=info msg="join connections" obj=join id=dd41519af754 l=[::1]:3000 r=203.80.164.89:3396
t=2026-04-08T16:54:59+0700 lvl=info msg="join connections" obj=join id=dc7d4d28adbd l=[::1]:3000 r=203.80.164.89:3396
t=2026-04-08T16:54:59+0700 lvl=info msg="join connections" obj=join id=d0afb055cdae l=[::1]:3000 r=203.80.164.89:3396
t=2026-04-08T16:55:09+0700 lvl=info msg="join connections" obj=join id=81b167130ff8 l=[::1]:3000 r=203.80.164.89:3396
t=2026-04-08T16:57:12+0700 lvl=info msg="join connections" obj=join id=7c0732cf337a l=[::1]:3000 r=203.80.164.89:4257
t=2026-04-08T16:57:12+0700 lvl=info msg="join connections" obj=join id=2b7ea42fc5a9 l=[::1]:3000 r=203.80.164.89:4257
t=2026-04-08T16:57:12+0700 lvl=info msg="join connections" obj=join id=3c202cf646e9 l=[::1]:3000 r=203.80.164.89:4257
t=2026-04-08T16:57:12+0700 lvl=info msg="join connections" obj=join id=484dc6d34340 l=[::1]:3000 r=203.80.164.89:4257
t=2026-04-08T16:57:17+0700 lvl=info msg="join connections" obj=join id=c14843ecb279 l=[::1]:3000 r=203.80.164.89:4257
t=2026-04-08T16:57:17+0700 lvl=info msg="join connections" obj=join id=8049e0aadf04 l=[::1]:3000 r=203.80.164.89:4257
t=2026-04-08T16:57:19+0700 lvl=info msg="join connections" obj=join id=9b524e78ccfb l=[::1]:3000 r=203.80.164.89:4257
t=2026-04-08T16:57:19+0700 lvl=info msg="join connections" obj=join id=b28d046dc634 l=[::1]:3000 r=203.80.164.89:4257
t=2026-04-08T16:57:19+0700 lvl=info msg="join connections" obj=join id=c4aa271e3421 l=[::1]:3000 r=203.80.164.89:4257
t=2026-04-08T16:57:19+0700 lvl=info msg="join connections" obj=join id=180d33cd1612 l=[::1]:3000 r=203.80.164.89:4257
t=2026-04-08T16:57:29+0700 lvl=info msg="join connections" obj=join id=5441cecbeae8 l=[::1]:3000 r=203.80.164.89:4257
